Title,Author,Publisher,Subjects,item_id,Subjects_list
classification décimale universelle édition abrégée,unknown author,ed du cefal,classification décimale universelle; indexation documentation; classification décimale universelletables; book classification; reference books; outline,0,"['classification décimale universelle', ' indexation documentation', ' classification décimale universelletables', ' book classification', ' reference books', ' outline']"
les interactions dans lenseignement des langues agir professoral et pratiques de classe,cicurel francine 1947,didier,didactiquelangue étrangère enseignement; didactiquelangue enseignement,1,"['didactiquelangue étrangère enseignement', ' didactiquelangue enseignement']"
histoire de vie et recherche biographique perspectives sociohistoriques,unknown author,lharmattan,histoires de vie en sociologie; sciences socialesméthodologie; actes de congrès,2,"['histoires de vie en sociologie', ' sciences socialesméthodologie', ' actes de congrès']"
ce livre devrait me permettre de résoudre le conflit au procheorient davoir mon diplôme et de trouver une femme,mazas sylvain 1980,vraoum,moyenorient; bandes dessinées autobiographiques; bandes dessinées,3,"['moyenorient', ' bandes dessinées autobiographiques', ' bandes dessinées']"
les années glorieuses roman,lemaitre pierre 1951,calmannlévy,france19451975; roman historique; roman français; littérature française,4,"['france19451975', ' roman historique', ' roman français', ' littérature française']"
100 idées pour mieux gérer les troubles de lattention,lussier francine,tom pousse,trouble déficitaire de lattention avec ou sans hyperactivité; enfants atteints de troubles de lattention; enfants hyperactifs; guides pratiques,5,"['trouble déficitaire de lattention avec ou sans hyperactivité', ' enfants atteints de troubles de lattention', ' enfants hyperactifs', ' guides pratiques']"
la boite a outils des formateurs 71 outils cles en main 10 complements en ligne 1 podcast,bouchut fabienne,dunod,formateurs education des adultesformation; personnelformation; animateurs de formation; guides pratiques,6,"['formateurs education des adultesformation', ' personnelformation', ' animateurs de formation', ' guides pratiques']"
lautorité éducative dans la classe douze situations pour apprendre à lexercer,robbes bruno,esf éd,autoritérelation maîtreélève; autoritéenseignement primaire,7,"['autoritérelation maîtreélève', ' autoritéenseignement primaire']"
un autre regard sur le climat,emma dessinatrice 1981,massot,climatdétérioration; bandes dessinées,8,"['climatdétérioration', ' bandes dessinées']"
le mirage de la croissance verte,auffret anthony,delcourt,développement économiqueaspect environnemental; développement durableaspect environnemental; bandes dessinées,9,"['développement économiqueaspect environnemental', ' développement durableaspect environnemental', ' bandes dessinées']"
vieille fille une proposition,kock marie,la découverte,célibataires; femmes; jeunes femmes; sociologie; sexualité; récits personnels,10,"['célibataires', ' femmes', ' jeunes femmes', ' sociologie', ' sexualité', ' récits personnels']"
rendre les élèves acteurs de leurs apprentissages,béal yves,delagrave,apprentissage psychologieenfant; apprentissage psychologiedidactiqueélèveenseignement,11,"['apprentissage psychologieenfant', ' apprentissage psychologiedidactiqueélèveenseignement']"
lapprentissage par projets au secondaire guide pratique pour planifier et réaliser des projets avec ses élèves,larmer john,chenelière éducation,apprentissage psychologieenseignement secondairepédagogie du projet; enseignement méthode des projets; enseignement secondaire; méthodes actives; enseignement en équipe; enseignement travail de groupe,12,"['apprentissage psychologieenseignement secondairepédagogie du projet', ' enseignement méthode des projets', ' enseignement secondaire', ' méthodes actives', ' enseignement en équipe', ' enseignement travail de groupe']"
pour une pédagogie du projet,bordalo isabelle,hachette éducation,enseignementméthode des projets,13,['enseignementméthode des projets']
une classe qui coopère pourquoi comment,staquet christian,chronique sociale,apprentissage psychologieclasse enseignementcoopérationélève,14,['apprentissage psychologieclasse enseignementcoopérationélève']
penser le projet concepts et outils dune pédagogie émancipatrice,tilman francis,chronique sociale,pédagogie de la maîtrise,15,['pédagogie de la maîtrise']
paysbas,williams nicola,lonely planet,paysbas; guides touristiques et de visite,16,"['paysbas', ' guides touristiques et de visite']"
amsterdam balades urbaines,vanderhaeghe katherine,hachette,amsterdam paysbas; guides touristiques et de visite,17,"['amsterdam paysbas', ' guides touristiques et de visite']"
